无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
归来有国，飨祀有家，此日鲁嫠无遗恨矣	希圣难兄，成仁难弟，昔年孟母实育成之
膝前乃有佳儿，能将邃学艰辛，长此养亲兼养士	地下若逢吾母，为道宦情平淡，不堪医国只医人
板舆所至，有两地名湖，谁知歇浦归帆，回首春明成一梦	桑海以还，见诸郎行马，此后泷冈树表，尚留遗范式群伦
长安落落，三五朋交，比来强半失母，往事摧心，吾生茹痛久矣	大节峨峨，万千辛苦，孝子能无永怀，百年弹指，佛说报恩善哉
噫吁嚱蜀道蚕丛，当年巢破卵完，辛苦贼中来，竟重见藁砧天末	逍遥游北溟鲲化，有子珠零锦灿，文章千古事，独难留寸草春晖
老革命一刀逃，出没鬼神，生知滂母喜	好家居群儿坏，飘摇风雨，死重鲁嫠忧
无端数出数入大兵震惊，动魄频闻野外哭	岂但一人一家阿母坊表，吊丧待谒道南堂
偕才郎作汗漫游，犯大雪重湖，朝长沙，暮汉口	吊贤母续呜乎诔，持生刍一束，奠斗酒，荐只鸡
辛亥汉口南北停战，谁操纵之，有儿三寸舌胜百万兵，国乃由此立	泷冈庐陵死生特书，称仿佛也，壮我一家言系十数事，文竟藉人传
陶侃入州，儿官其一	泷冈千古，母德不孤
厚性情，薄嗜慾	直心思，曲文章
诚意正心，只四字学	读书静坐，各半日功
戴天履地并称才，七尺伟然，须作几分事业	往古来今中有我，百年易耳，当思千载姓名
发上等愿，结中等缘，享下等福	向高处立，在平处坐，从宽处行
富贵贱贫，总难称意，知足即为称意	山水花竹，无恒毛人，得闲便是主人
爱半文不值半文，莫谓世无知者	作一事须精一事，庶几心乃安然
于进步中求退步想	在忙时节作闲时游
此心不滞物物，囿事事	于道求出天天，入人人
更从何处得一妄语	每于介中见其和神
观天地生物气象	听士民戴上讴歌
种树类培佳子弟	拥书权拜小诸侯
夏鼎商彝，秦碑汉瓦	刘略班莪，贾策扬经
静几明窗参太极	孤灯夜雨读离骚
一篱秋老蛾眉豆	三径晴供鹰爪兰
小窗多明，使我久坐	入门有喜，与君笑言
古鉴照人，如汤沃雪	春雨润物，自叶流根
事到万难，必须放胆	理无两可，总要平心
看透人情知纸薄	经多时事觉山平
随缘穿衣吃饭	切实作事为人
汾阳大富贵亦寿考	庐陵畜道德能文章
大海有实能容之量	明月以不常满为心
愿富岁斗米十钱，官吏乐民民乐业	对良宵千金一刻，灯光随月月随人
白发萧然，看他人儿女夫妻，千般恩爱	黄金尽矣，数此日油盐酱醋，百计安排
诸子以南华为绝唱	列传惟太史得沈雄
雪窗快展时晴帖	山馆闲临欲雨图
蛟龙得雨海波立	凤凰在山天下奇
长风生浪水无与	春气集林山不知
游目骋怀，此地有崇山峻岭，茂林修竹	赏心乐事，则为你如花美眷，似水流年
听两部笙歌，岂犹是胡笳羌笛	看中华人物，莫漫夸班笔张槎
陶斯泳，泳斯游，教边甿为忠臣孝子	后视今，今视昔，知中国有五帝三王
万里河山，春来有脚	十年征戍，地入不毛
马放牛归，是为乐国	莺啼燕语，如在故乡
冷官何补时艰，虚掷居诸，于兹十载	中国举行宪政，维新气象，似此初春
立宪期以九年，新政实行，从学校起	尊孔升为大祀，吾道不变，与天地参
处远居高，何时而乐	投闲置散，乃分之宜
工仍旧名，合农商为一部	科守成宪，沿周礼第六官
刑牲迎年，四时吉利	招鹤止户，一切喜欢
招贤为檠，依德为辅	科罪以法，衡情以辞
自问何能，只不着一丝假	有事即办，怎肯偷半日闲
一生不作暖昧之事	诸君毋以笑貌为恭
人于水鉴	亭以雨名
大烹以养	小住为佳
君行且止	宾至如归
集人三益，广我六廉	在天一涯，分地百社
如在其左右	以保我子孙
喜与不淡时务客饮酒	难为未识姓名人作书
戒之在色，戒之在斗，戒之在得	职思其居，职思其内，职思其忧
道义自高，如立六国相	著作极盛，可拟万石家
处争竞世界	作完全国民
八十日戴发效忠，表太祖十七朝人物	六万众同心杀贼，留大明三万里江山
因昨日过去湖南，盼他日未来中国	惟有人流血革命，始成人自由共和
古人舞台与今人舞台都应作如是观，唤甚么本头，任列位想想	喋血革命不流血革命恰己成昨日事，扮出些脚色，请当场看看
今真甦自由魂，当场一出风云气	此莫作假事看，上座诸君世界人
和尚作了十二年，未曾住庙	弟子拜辞三千佛，从此还家
土产无多，生一物栽培一物	地方不大，住几家保佑几家
俾我食德服畴，繄谁所赐也	维神捍灾御患，故社而稷之
莫到做会日方言修庙	就是无事时也要烧香
身无半亩，心忧天下	读破万卷，神交古人
慎交游，勤耕读	笃根本，去浮华
要大门闾，积德累善	是好子弟，耕田读书
天下无易境，天下无难境	终身有乐处，终身有忧处
与人为善，取人为善	乐以终身，忧以终身
不为圣贤，便为禽兽	莫问收获，但问耕耘
禽里还人，静由敬出	死中求活，淡极乐生
战战兢兢，即生时不忘地狱	坦坦荡荡，虽忧患亦畅天怀
养活一团春意思	撑起两根穷骨头
嬉笑怒骂，俾愚夫妇皆知，较胜史上劝惩法	离合悲欢，从真性情看出，都是场中歌哭人
德宜荐豫，岁屡报丰，诚敦无妄	戏原无益，舞不可恒，乐戒小过
不惜亲身穿犊鼻	解留只眼识鸢肩
读书好，耕田好，跟好学好	创业难，守成难，知难不难
一心常念波罗密	三祝惟求福寿男
俭必养廉，誉洽乡党	直而能忍，庆流子孙
入孝出忠，光大门第	亲师取友，教育后昆
姑为他人作嫁	所愿天下无冤
读梭伦律更读唐律	称名法家亦称辩家
宦味清于一杯水	诗情逸似九溪云
剑气珠光自腾上	青山白云同静深
宾于王家观上国	次及文苑先儒林
吏隐即仙，可是东坡再世	臣心似水，只饮两湖一杯
一县好山留客住	五溪秋水为君清
天知地知，但说不恤人言，亦已晚矣	公益私益，务须划清界线，庶儿近之
春风又度营门，也来刲鸭烧豚，与诸君痛饮屠苏，好雪夜夺关，计平淮蔡	黠冠环窥庭户，当此外忧内患，率健儿先除伏莽，听江天鼓角，直出荆襄
色即是空空即色	卿须怜我我怜卿
帝力于我何有	臣清恐人不知
白雪远山，图开大米	斜阳新柳，春满天街
昨者作堂名醉墨	朝来拄笏看西山
往事忆觚棱，身别修门二十载	新阴尽桃李，教成君子六千人
万事未甘随俗传	一官辛苦读书来
生气犹存，看此日阶前大树	爰书谁定，问当年座上诸公
药是当归，花宜旋覆	虫还无恙，鸟莫奈何
万象涵归方丈室	四围环列自家山
尚欲乘长风破万里浪	不妨处南海弄明月珠
无可奈何新白发	不如归去旧青山
荣华过目总成空，何如乐道安贫，莫管他利，莫管他名，莫管他虎斗与龙争，当极闷时，席先世区区旧庐，偕我弟我兄，学半日渔，作几笔画，读万卷书，逍遥游哉，山中人此亦算南面	善恶到头原有报，只要委心任运，说甚么神，说甚么鬼，说甚么数穷更理极，怪彼盗者，怙暂时赫赫倒柄，乃予取予求，兴不风浪，摧方艺萌，填无底壑，否泰交未，天下事岂尽付东流
霹雳一声雷，依然大地山川，才识得开拳见掌	回向三世佛，直至宝王楼阁，也无非吃饭穿衣
直指本来心，鹤献香花猿献果	灼然常住义，云归沧海水归瓶
淮水东边旧时月	金陵渡口去来潮
两翼石栏扶海出	三秋水月渡空行
秋水洒堂数百道	海舟浮月两三人
不霁何虹，天倩娲皇来补石	此山似蜀，人思坡老为题桥
北去三河扬子渡	南通百渎蠡湖船
继坡公舣舟，谁为过客	问相如题柱，可比升仙
未须更忧一水隔	可以横绝七姑巅
相保以险	厥安如山
保此片片石	安渡沉沉渊
三才天地人	四诗风雅颂
五行金木水火土	四位公侯伯子男
五事貌言视听思	七音宫商角徵羽
天下有中，公无不知之理	天下有公，中无穷乏之理
好古探周孔	嗜奇窃汉碑
家有贞元石	人弹叔夜琴
正瓯越销兵、沪杭同轨之时，借胜境涤尘嚣，在明圣湖六桥以外	问陆公茶灶、屈子兰汤何处，有层楼矗云表，距清泰门百武而遥
酒后高歌，听一曲铁板铜琶，唱大江东去	茶边话旧，看几番星轺露冕，从淮海南来
宰天下有如此肉	治大国若烹小鲜
乡味殊佳，莫恋江东饱莼菜	人间何世，偶从海上得桃源
是鳏寡孤独外别一种无告穷民，我只当儿女看来，欲借慈航渡孽海	于罟擭陷阱中开这条放生大路，谁能把繁华唤醒，不留地狱在人间
大瀛海环神州赤县之旁，邹子雄谈，地球九万里	新国民咸结轨联航而至，春申上客，珠履三千人
两点金焦，劫后山容申旧好	万家食货，舟中水调似承平
事有备以无患	门虽设而常关
自有风云回赤帝	俨同霖雨遍苍生
水火既济	黍稷惟馨
请君跳过鱼儿碗	看我搬成肉价钱
使众昭昭，若岩下电	与世珞珞，望眼中人
如用之皆自明也	苟合矣不亦善乎
顷刻即天明，此处何须久坐	一声从地起，诸君自有前程
人我皆醉	天地一沤
两口居绿水丹山，妻太聪明夫太怪	四围皆青燐碧血，人何寥落鬼何多
三闾大夫胡为至于此	五柳先生不知何许人
田园将芜胡不归，计惟随五柳先生游耳	国家兴亡与有责，今安得一时人杰从之
静坐规四海	妙用存一心
移山辟前路	种木荫高枝
不受物汶汶	仰视天苍苍
种瓜得瓜，种豆得豆	染苍而苍，染黄而黄
粗茶淡饭布衣裳，这点福让老夫消受	齐家治国平天下，那些事有儿辈担当
有诗书，有田园，家风半读半耕，但以箕裘承祖泽	无官守，无言责，时事不闻不问，只将艰巨付儿曹
汲水浇花，亦思于物有济	扫窗设几，要在予心以安
春从天上至	水由地中行
芦中人出	河上公来
但有余闲惟学帖	即逢佳客莫谈天
老屋将倾，只管淹留何日去	新居未卜，不妨小住此为佳
尝胆枕戈，亟欲湔吾国之耻	艺麻种果，不妨为农家者流
倚天石壁不飞去	啄木山禽时下来
谈天八星觉身小	拓地五洲犹心雄
学途敻于西北利筑路	文境辟似苏彝士凿河
度量不敢窥涯涘	富贵于我如浮云
逝者如斯夫	掩之诚是也
长夜漫漫灯日旦	春愁黯黯不成眠
同是吐皮，饱者不知饥者苦	一般面目，得时休笑失时人
父兮生，母兮鞠，俾无父母有父母，此谓民父母	子言似，孙言续，视犹子孙即子孙，以保我子孙
天地大德曰生，勾使出，萌使达，卵麛使蕃孽，安得广厦尽庇诸婴，缔造经营资众力	父母斯民之责，寒与衣，饥与食，疾痛与医药，毋滋他族逼处兹土，维持调护赖诸贤
眼前看他人子女	背后想自己儿孙
幸有两眼明，多交益友	苦无十年暇，熟读奇书
不怒不尤，但反身争个一壁静	勿忘勿助，看平地长得万丈高
丈夫当死中图生，祸中求福	古人有困而修德，穷而著书
半日读书，半日静坐	一亩种菜，一亩栽花
仁仁义宜，以制其行	经经纬史，乃成斯文
无不可过去的事	有自然相知之人
做数件可流传之事，销磨岁月	会几个有识见的人，论说古今
无能事乃能无事	不善言而善不言
无能事而能无事，无事则无事事矣	不可解即可不解，不解以不解解之
追怪物出宇宙	哀窈窕思贤才
旧书不厌百回读	新诗说尽万物情
室靡弃物	家无闲人
使我有身后名，不如及时杯酒	丈夫拥书万卷，何暇南面百城
纵尽时间，横尽空间，几多教育家、政治家、宗教家，谁是完全人格	客观内籀，主观外籀，一有文字想、经济想、功名想，已非真正自由
近市声喧，清风明月不用买	贫家客少，鸟语花香自可人
请为诵郑风诗，适子之馆，授子之粲	不能忘鲁论语，观其所由，察其所安
竹鼯花猪，春游好读坡仙赋	莼鲈稻蟹，秋兴应题杜老诗
两岸楼台，高卷筠廉邀月入	一河船舫，轻摇兰棹栽花来
风月常新，时复登楼聊纵目	烟波无际，须知有岸可回头
山好好，水好好，开门一笑无烦恼	来匆匆，去匆匆，下马相逢各西东
好一座危楼，谁是主人谁是客	只三间老屋，半宜明月半宜风
年年难过年年过	处处非家处处家
前途赤杲杲日，试问能行几步	这里凉飕飕风，何妨暂坐片时
读书须知有事在	移山只是争人为
靠山吃山，靠水吃水	种豆得豆，种瓜得瓜
养满腔慈爱，便储满腔吉祥，到处凤揽德辉，麟游仁宇	任一分性情，即平一分机械，相逢石皆玉润，荆亦花香
智欲圆而行欲方，胆欲大而心欲小	正其谊不谋其利，明其道不计其功
培土领从方寸起	留花莫到十分开
天下奇观看尽，不如书本	世间滋味尝来，无过菜根
山地种菜，水乡捕鱼，无穷生计	本色清言，寻常茶饭，此地人家
未忘麈尾清谈兴	常读蝇头细字书
有时袖手惟观奕	每到低头为乞花
千古英雄浪淘尽	天下名山僧占多
劳工神圣	世界大同
我不异人，人不异我	工即是学，学即是工
明朝还访二千石	一日更须三百杯
万事不如公论久	微言惟有故人知
苦遭白发不相放	长恐青山与世新
上有加餐饭，下有长相忆	直如朱丝绳，清如玉壶冰
读万卷书，行万里路	综一代典，成一家言
大文章无用处	古乐府有余音
名世大文酒德颂	传家天爵醉乡侯
一曲平沙弹绿绮	半窗晴日写黄庭
将雪论交人尽热	与梅相对我犹肥
我不知何者树德，何者立威，只缘余孽未清，奋戟重来，稍尽军人本职	古亦有生而铸金，生而刻石，自揣美名难副，登堂强醉，多惭父老深情
只如此已是过分	要怎么方才称心
欲把新诗问遗像	不妨尊酒寄平生
不食民一饭，不爱民一钱，乃吴隐之为太守	先天下而忧，后天下而乐，是范文正作秀才
大处着眼，小处着手	群居守口，独居守心
莫道囊空，问千里遨游，带多少关山风月	特开陋室，恐长途辛苦，误勾留杨柳楼台
想行路出门难，但得居家便是福	除读书写字外，别无生计所由穷
到此皆洁己之士	相对乃忘形之交
到此方无中饱患	何人不为急公来
不衫不履，居然名士风流，只因丑陋形骸，险湮没了胸中锦绣	能屈能伸，自是英雄本色，可惜峥嵘头角，谁识你的笔底珠玑
何人解洗筝琶陋	若辈能逃粉墨缘
陶靖节好读书，不求甚解	苏子由学为政，益治其文
春眠未觉花心动	夏礼能言杞足征
三千里萍梗飘来，重向山头折屐	六十本梅花开遍，好凭国手调羹
没世难忘知己感	平生甘被小人欺
侠骨岂沉沦，耻与蛟龙竞升斗	人事日龌龊，莫抛心力贸才名
奔万里尘沙，此地好盘金勒马	折一支杨柳，送君生入玉门关
求公公，公道明于千里月	愿婆婆，婆心忙似半山云
共和不论功，愿与同胞常纪念	天下犹多事，敢忘吾辈有担当
且食蛤蜊	安问狐狸
官成十八品	世阅一千年
子厚过柳州，山水益著	东坡游海外，文字逾奇
何必读书	请学为圃
有万夫莫当之勇	无一事自足于怀
海到无边天作岸	身登绝顶我为峰
白日放歌须纵酒	黄金散尽为收书
闲敲扁鼓编平话	独把毛锥著罪言
可怪峥嵘铁汉踱入吾门，都变成和峤癖	未将新旧金山移来中国，枉扬起赢政鞭
降邪不党邪，见面略无愧真武	护法如违法，回头何以见观音
室中大有人在，胸中大有事在	昨日谓之旧年，今日谓之新年
好儿不要爷田地	打架还须亲弟兄
如意事常少	敢言人所难
嬉笑悲歌怒骂	诗仙剑侠酒狂
彼富我仁何自慊	无田有业不为贫
为大英雄，当如克林威尔	具真魄力，何惧乌德斯山
尚质尚忠尚文，通其变使民不倦	育体育智育德，立乎教为国之基
勤学当师车武子	文明欲驾欧罗巴
人谁无过，小事糊涂，大事不糊涂，是亦足矣	我非爱财，来得明白，去得更明白，吾何慊乎
曾作两朝天子	亦称一代圣人
尝烹天子父	亦作圣人师
在城之曲	因地为园
一丘藏曲折	半亩壮园亭
几曲阑干文结构	一园花木画精神
饮酒读离骚，也算屠门大嚼	和羹词鼎鼐，不如左手持螯
出天天大道本自然，自然根天然	后乐乐终身有忧处，忧处即乐处
男子须顶天立地	昔人懔后乐先忧
画本妙天然，此楼真高百尺	人生行乐耳，有酒更尽一杯
小山攀桂	空谷闻兰
孰能为之，鹏背扶摇几万里	昭其文也，瓦当流落二千年
鸿宝旁罗，蟹行间接	飞白异用，杀青同功
惠政治舆人，殖我田畴，感诵真如郑东里	崇祠报生佛，敬公香瓣，延年共祝曾南丰
觅地殖民，亚洲见哥仑布	涸湖生谷，巴蜀祠李阳冰
人言此是月川叟	我来一拜田舍翁
二十里短柄长鑱，只赢社日鸡豚，来供生祭	百万顷稻花秋水，点缀豳风图画，中有仙龛
送神迎神，是皆吾军百战之健者	在庙言庙，曾是时祭一堂而舍诸
江声自沸	剑气犹生
生为熊为罴，负羽郴衡，劳诸君起捍牧圉	死非战非敌，丛祠渫澧，听雄鬼索还头颅
绵绛二州，其百姓皆曰于我有德	湖山一角，后千年来与故人同龛
为善须真，若教羃面登场，徒成假傀儡	食贫何害，试看关粮泼粥，终有好团圆
借丝竹传山水清音，里社歌谣新乐府	与父老话升平盛事，岁时伏腊古临溪
古往今来只如此	淡妆浓抹总相宜
应作如是观，古人今人若流水	谁能为此曲，大珠小珠落玉盘
老天别换一番人，还恐一换再换	冷眼日看千万变，权且左看右看
湖山积久发奇光，藉此地鼓舞轩鼚，聊寄酬洞庭衡岳	科目何尝无国士，愿诸君淋漓感激，安排作孝子忠臣
都想要拜相封侯，却也不难，这里有现成榜样	最好是忠臣孝子，看来容易，问他做几许工夫
古今人何遽不相及	天下事当作如是观
乾坤一戏场，请君更看戏中戏	俯仰皆身鉴，对影莫言身外身
寿域寿人寿杯，春酒万寿	新民新国新剧，舞台一新
荆楚九歌，客中聊作枌榆社	江山六代，劫后重闻雅颂声
我辈乃水火刀兵余生，稽首效华岳三呼，同报君恩同报国	今日是长治久安天下，放胆唱升平一阕，半入江风半入云
想当年那段情由，未必如此	看今日这般光景，或者由之
尔子孙绳绳，民弗福也，幸毋集翼于原田每每	我黍稷郁郁，神其保诸，报以拊缶而歌呼乌乌
高节变风云，坐客欷歔，击筑欲邀燕市饮	遗劳在兰菊，礼魂容与，传葩疑唱楚人骚
坐客为谁，听二分明月箫声，依稀杜牧	主人休问，有一管春风词笔，点缀扬州
谁苍鹘，谁参军，描摹得世间人，须眉毕见	有院本，有杂出，难为他说戏的，口舌都忙
湾有廿三，闹吵吵白叟黄童，赏此乍暖乍寒天气	班名四六，乱纷纷高冠长剑，演出半文半武排场
会真古记性情多，小字低呼，北曲好如南曲	春戏今年重叠做，大家高兴，西村看到东村
正值柳梢青，乍三叠歌来，劝君更尽一杯酒	如逢李太白，便百篇和去，与尔同销万古愁
触景伤怀，回首可怜歌舞地	感时溅泪，隔江犹唱后庭花
击鼓听三挝，想老贼阿瞒，曾经夺魄	误弦邀一顾，怜小乔夫婿，未免痴情
谁为袖手旁观客	我亦逢场作戏人
谈言微中可解纷，当入古史记滑稽列传	声音之道通乎政，请看新世界戏曲改良
数幅石兰称著作	一庭花木似儿孙
书经水毁留儿读	花到秋开为女簪
多多栽种些好花，于己亦便	远远让开条来路，尽人去行
容吾日在此忙碌真福分	有客时来前论难大吉祥
忽发狂言惊四座	分其余事了十人
当以文章横行一世	分其余事足了十人
身行万里半天下	眼高四海空无人
你的算计特高，得一回，进一回，那晓满盘都是错	我却模糊不过，有几件，记几件，从来结帐总无差
纵使有钱难买命	须知无药可通神
善报恶报，循环果报，早报晚报，如何不报	名场利场，无非戏场，上场下场，都在当场
休怪他快意登场，也须宿世根基，才能够屠狗封侯，烂羊作尉	姑借尔寓言醒世，一任当前煊赫，总不过草头富贵，花面逢迎
白练裙，黄紬被，紫绮裘，草圣诗伯酒仙，郑虔三绝	玉条脱，金仆姑，铁如意，美人英雄名士，何偃一双
千里而来，徐孺子可容下榻	一寒至此，严先生尚未披裘
随笔续编耆旧集	爱庐待赋归来辞
灵运诗篇工述祖	康成经学喜传孙
交满四海，乐道人善	胸罗万卷，不矜其才
天命之谓性	人情以为田
世界田海惊心，萃稗史四千余年，儿女英雄演出黄帝魂，顿令旧案翻新案	汉家旌旗在眼，看云台二十八将，公侯文武高陪紫微座，莫谓今人无古人
贼氛甚噩，我武维扬，还九澧大好河山，民亦无恙，岁亦无恙	马革何常，羊碑不朽，看诸君争光日月，生安足论，死安足论
博览增见识	广交得观摩
不打通义利关头，且莫轻言学问	能参透圣贤语默，还须实力躬行
得过且过日子	半通不通秀才
身是翼德谁敢敌	学如横渠不妨禅
武乡侯以管仲乐毅自方，时人莫之许也	文中子得玄龄如晦为友，天下其将安乎
乃设敦槃，用宣话言，即当异日风云，毋忘高会	既同族种，宁分畛域，相率中原豪杰，来修斯盟
多少驷马高车，题桥柱去	安排铜琶铁板，唱大江东
陆多虎兕，水多蛟鱼，驯使无扰	士安庠塾，农安畎亩，偕之大同
造道行义以为利	图功易危而为安
依然水枕风船，重向烟波寻旧梦	何必淡妆浓抹，一空色相见天真
双浆来时，有人似桃根桃叶	画船归去，余情付湖水湖烟
所谓伊人，旧雨时来今雨少	有如此水，在山终比出山清
晏婴近市	潘岳面城
邻有晏婴居近市	诗成康乐草生春
虚己只知求我益	坦怀不厌受人欺
集古来有血性人撰侠史	与当世无机心客作清谈
有偷色婉容斯为美	无矜才使气以遗罹
书能医尔俗	画亦养吾年
要甚么功名，一个太学生，能使公卿推国士	亦无多著作，两卷春心阁，长留宇宙作诗人
相对半床书，冀渐臻圣域	但啜一瓯粥，誓不入公门
长安居大不易	天下事尚可为
事事有备	人人胜兵
武称三千，项称八千，即此可方行天下	秦得百二，楚得十二，问谁敢直犯颜行
望之俨然王侯第宅新主	其邻恰比广文先生冷官
前出塞，后出塞	好因缘，恶因缘
四大皆空，坐片刻无分尔我	两头是道，吃一盏莫问东西
野鸟啼风，絮语劝君姑且息	山花媚日，点头笑客不须忙
为名忙，为利忙，忙里偷闲，吃杯茶去	劳心苦，劳力苦，苦中作乐，斟碗酒尝
史之美恶观，尝取自镜	我无尺寸土，而名曰园
道不远人，法天行健	货恶弃地，抱瓮灌园
蜡自煎，茧自缠，牺牲在个人，功用在世界	今镜古，他镜己，成败以对照，是非以反观
山横前榭瓦都绿	日射榴花楼映红
读律书惧刑，读战书惧兵，读儒书兵刑不惧	耕尧田忧水，耕汤田忧旱，耕心田水旱无忧
破釜沉舟，百二秦关终属楚	卧薪尝胆，三千兵甲定吞吴
士可杀不可辱	兵贵精岂贵多
忌我何尝非赏识	欺人毕竟不英雄
天地为庐，一代栋梁材，皆庇宇下	桑麻绕屋，十年生聚策，自在个中
萃五洲来宾，入门相视虎虎	临九澧胜地，拊缶而歌乌乌
脚色莫说不高，挽牵在幕中，教动左脚，何敢使右脚	人才休赚太小，抬举出台上，无谓今人，必难及古人
遇事强出头，此中大有人在	登场便抽脚，天下其谓公何
慕朱家郭解为人，交遍寰区，太史特开游侠传	抱黄初建安之恸，力匡王室，英雄偏具圣贤心
你也挤，我也挤，此处几无立脚地	好且看，歹且看，大家都有下场时
看不真莫嘈，请问前头高见者	站得住便罢，须留余地后人来
人情到底好排场，耀武扬威，任尔放开眉眼做	世事原来仍假局，装模作样，惟吾踏实脚跟看
既登傀儡场中，须要眼孔放开，细观者样行为，转瞬间此兴彼败	得入攀挤队里，切莫脚跟无定，难怪那些摇动，一霎时东倒西歪
虽然优孟衣冠，却非儿戏	藉此梨园子弟，用补楚风
半市半乡，半读半耕，半士半医，世界本少全才，故名曰半	闲吟闲咏，闲弹闲唱，闲斟闲酌，人间尽多忙客，而我独闲
四民之财钥	九澧此泉源
樽前谈笑只等闲，苍黄风云，演成人我悲欢局	座上官仪乍光复，俯仰今古，都作承平雅颂声
天下忧乐关心，请绎经言，知今乐亦犹古乐	汉家旌旗在眼，侧闻鼚响，于声和想见政和
并坐横肱，少是夫妻老是伴	正立拱手，你烧钱纸我烧香
利锁名缰，普天下人都为缚束	晨钟暮鼓，有慧根者从此唤醒
咬定一两句书，终身师保	栽成五七竿竹，满目儿孙
以粟易之，是亦不屑就已	非我志也，而况受其赐乎
且食蛤蜊，焉知许事	但有螃蟹，而无监州
道道非常道	天天小有天
浊酒聊自适	鼓腹无所思
为国谋强，不战之战	普天同庆，似烟非烟
须十年读书，十年养气	可半日接客，半日看山
善德如拳蹲眼底	沅江作带绕栏前
有酒尝呼市侩饮	无钱莫对俗人言
此去朝天，愿抗疏陈言，毋忘在莒	这回过境，论下官不职，合便烹阿
马伏波以马革裹尸，死而后已	李伯阳指李树为姓，生有自来
唉！夸又到一年秋，大好河山，泯泯棼棼，汔未回复旧观，顶礼转轮王，度己度他同解脱	嘻！昔尝痛诸君死，有情箫笛，掩掩抑抑，相将共捃雄鬼，心依救世佛，在天在地各归来
使者黍陪位备员，过来庆贺国旗，八逢十月十日	共和须顾名思义，此后发扬民治，万莫一人一心
衰年炳烛深宁叟	故国归帆老学庵
俭岁之粱稷，寒年之纤纩	洪笔为鉏耒，纸札为良田
宜饮酒，宜围棋，水木明瑟	请学稼，请学圃，冬夏播琴
家计费经营，一室安耕具，一室安钓具	世情资阅历，半日对古人，半日对今人
奉胡安定教条，经师南面，经生北面	仿陆平原故事，阿兄东头，阿弟西头
如此丰神，但须读离骚，饮美酒	斯是陋室，可以阅金经，调素琴
其次辟地	此生问天
安能郁郁久居，痛日暮途远	何敢沾沾自喜，说道高毁来
闭门思过重思过	对酒无言匪无言
崛强犹昔	沉吟至今
聊复尔尔	对此茫茫
海上居大不易	人间世将何之
传舍十数迁，傍谁门户	眷属二三口，累我饥寒
儿官大如粟	我屋小于船
愁甚么，信步行将去	歇也罢，丢肩放下来
那条窄路儿，且须让一步，他过不去，你怎过得去	这种重担子，也要任几分，我做不来，谁又做得来
转瞬即天涯，坐坐吃筒烟去	前头多地主，看看等个船来
南南北北，总须历此关头，且望断铁门限，备夏水冬汤，应接过去现在未来三世请佛，上天下地	东东西西，那许瞒了根脚，试竖起金刚拳，击晨钟暮鼓，唤醒眼耳鼻舌心意六道众生，吃饭穿衣
忍辱可为仙，已受过世人几千场讪美	安贫惟乐道，终难解自己这一点痴顽
阴阳风雨晦明，受之以节	梦幻露电泡影，作如是观
倩人抓背，上些上些再上些，真痛痒全凭自己	对客猜拳，著了著了又著了，好消息总在他家
乘槎直到牵牛渚	载笔同游放鹤亭
大笔高名海内外	君来我去天东南
组练三千朝蹋浪	貔貅十万夜观书
西域横行班定远	东方大治管夷吾
晨餐东海狞龙鲊	夜草南山猛虎行
艣声软似吴娘语	酒味辣于京口兵
委心仍郁湘纍痛	努目方参弥勒禅
高才必为一世用	新诗说尽万物情
诗有万篇陆务观	书成五笔洪容斋
襟怀朗抱澄江月	踪迹同看钟阜云
浩浩颓波，中立不倚	体体盛德，俾寿而臧
冯唐易老，雍齿且侯，三字故将军，匹马短衣春射虎	左抱宜人，右弄孺子，孤山林处士，芦帘纸阁夜谈龙
千顷太湖，鸥与陶朱同泛宅	二分明月，鹤随何逊共移家
酿五百斛酒，读三十车书，于愿足矣	制十丈大裘，营万间广厦，何日能之
冠盖满京华，斯人独憔悴	江山留胜迹，我辈复登临
食必鱼，出必车，当代孟尝谁客我	裘已弊，金已尽，穷途苏季不归家
门垂碧柳	衣点缁尘
不须柳材用为号	莫谓棉花又误弹
将军有揖客	老子其犹龙
解字九千三百	坐席五十余重
曾受双戟单刀，长于葛洪者剑	所谓粗块大脔，奄有陈亮之文
思纬淹通，比羊叔子	定礼决疑，问陶覆之
月中渐见山河影	天上新承雨露恩
积累譬为山，得寸则寸，得尺则尺	功修无幸获，种豆是豆，种瓜是瓜
人在有情天，得此群山，暂舍事事	生岂无怀世，每当九日，亦自欣欣
灌夫骂座非关酒	江敩移床那算狂
潦倒英雄无赖贼	荒唐乐府有情侬
诗成掷笔仰天笑	酒酣拔剑斫地歌
但纵高吟开醉胆	静嫌对奕动机心
中丞教作沧浪主	相国呼为金石僧
大宛名马日千里	丹山一凤飞九霄
诗带禅心，半夜吟声分佛火	酒逢敌手，一场醉梦闹秋虫
丹荔同尝，游宦相从忆南海	紫藤过访，结邻且喜近东坡
新堤旧井各无恙	引杯看剑坐生风
胚胎燕赵悲歌气	雄长沅湘著作才
心声相感鹤欲舞	笔力所至花为香
秀才天下为己任	辣手著作空时髦
石头偃蹇应呼丈	松意萧疏不耐官
独立千载谁与友	拨弃万事勿复谈
入地狱乃佛许	知天命是圣言
从事西方，生极乐国土	所谓佛法，作忍辱仙人
进士为官，折腰不媚	贵人有疾，在目无瞳
帆如秋叶来天上	人似春蚕卧茧中
客如流水住时少	财比闲花散处多
