一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
斯道斯民，荡平正直	我用我法，俭简谦廉
新人办新事新风传梓里	春日耀春晖珍色满园庭
新堤旧井各无恙	引杯看剑坐生风
新声谱出扬州慢	明月听来水调歌
新婚吉利，金婚愿祷	今日夫妻，他日公婆
新学阐欧美	深山生龙蛇
新居拓静安寺之旁，频年艺竹栽花，敢上规开府梨桃，征君松竹	空气自太平洋而至，几辈凭栏把酒，尽消受管弦夜月，纨绮清风
新居焕彩盈门秀色	华构落成满座春风
新年纳余庆	嘉节号长春
新得园林种树法	喜闻子弟读书声
新恩又见临裴野	近事争传保郑乡
新旧十年行馆雨	雌雄几辈过江风
新月一钩云脚下	残花两瓣马蹄前
新月如弓残月如弓上弦弓下弦弓	朝霞似锦晚霞似锦东川锦西川锦
新松恨不高千尺	恶竹应须斩万竿
新歌宜弟宜兄，兄难为兄，弟难为弟	亲迎自南自北，北人归北，南人归南
新水涨三篙，绕槛波光平似镜	好山环四面，开窗岚翠拱如屏
新社会新人物新婚嘉礼	好政策好光景好合百年
新祠民祭祀	旧债帝偿还
新诗如洗出	好鸟不妄飞
新郎归自巴黎三万里	此月例会河鼓一双星
新闻巨子国际专家落落长才惊海宇	缥绁蒙冤囹圄损命重重惨痛绝人寰
方丈四方方四丈，南北东西	试场三试试三场，经赋论策
方义师起吾在英京，走告其士夫，或义或疑，直谓秦无人耳	望帝子归昔忍蜀国，徒劳彼父老，载歌载泣，安得后来苏耶
方借花容添月色	欣逢秋夜作春宵
方千里育贤之地	第一重入圣之门
方城为城，汉水为池，大好江山资坐啸	东望武昌，西望夏口，平分风月付闲曹
方欣一顾空群，燕市台高，神骏逍遥谁买骨	剩有四龄弱息，汉江波冷，悲啼辛苦叹将雏
施恩望报，势且成仇	为善求知，弊将得谤
旁人错比扬雄宅	日暮聊为梁甫吟
旋乾转坤移山倒海	济人利物震古铄今
旌麾畿甸尊宗衮	杖履耆英寿国桢
族谱藏楹待欧苏文章，议论无成，弱又一个	吾家在县称王谢门户，风流顿尽，赎难百身
无一日不办事，无一事不用心，疆寄三十年，仅乃如此	行治术十之六，行学术十之四，存诗五百首，呜呼哀哉
无不可过去的事	有自然相知之人
无事棋酒着酌	有时琴诗弹谈
无事此静坐	有情且赋诗
无以为宝，唯善以为宝，则财恒足矣	义然后取，人不厌其取，又从而招之
无以慰延伫	聊可莹心神
无友无敌，无新无旧，异口罔间言，名满天下，谤即随之，此例遂为先生所破	斯时斯世，斯人斯才，赍志以终古，我瞻四方，魂兮归些，英灵莫挟大地俱沉
无可奈何，似曾相识	有情眷属，如意郎君
无可奈何，大家怎无可奈何，轗轲抑郁死而终古，人谓穹昊不仁，抑家庭气运，独于汝一生遘闵终凶，呜乎，命也	如此便了，身后岂如此便了，伶仃弱小俟诸方来，凡在兄弟有责，虽铁石肝肠，亦将洒万古伤心痛泪，噫嘻，天乎
无可奈何新白发	不如归去旧青山
无可颂扬，百姓脂膏，未尝染指	有何欢喜，七旬夫妇，难得齐眉
无命复何如，徒令上将挥神笔	未捷身先死，长使英雄泪满襟
无处觅残红，试问东风春愁怎画	浮生等萍迹，不知江左燕入谁家
无多事，无废事，庶几无事	不徇情，不矫情，乃能得情
无大牺牲心，何能发难	有少成败见，岂足论人
无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
无妄福，无妄灾，负此金马门前，雍容大手笔	非常人，非常遇，流传灵鹣阁上，荟萃小丛书
无山得似巫山好	何水能如河水清
无工夫为人拭鼻涕	莫断送去我老头皮
无怪倏尔而秦，倏尔而汉，到此地小坐片时，便成旦暮	看来何必有洞，何必有花，与诸君清谈半晌，即是神仙
无我相，无人相，无边寿相	有善缘，有德缘，有大福缘
无日不以龚黄召杜相规，愿诸君力行古道	斯民正当水火刀兵之后，赖良吏默挽天心
无欲常教心似水	有言自觉气如霜
无求生以害仁，死且不朽	为厉鬼而杀贼，魂兮来归
无涕泪避国破山河，渡江多买豚肩，四海论诗书甲子	有酒杯浇胸中块垒，浊世不如蝉蜕，九原倾盖想先公
无父何怙，我独安归，适子馆兮，风人雨人，百年如一日	大厦落成，公不复见，登斯堂也，顾我复我，九原有二天
无狂放气，无遭学气，无名士风流气，方称儒者	有诵读声，有纺织声，有小儿啼笑声，才算人家
无端开合电明野	不事安排月到天
无端数出数入大兵震惊，动魄频闻野外哭	岂但一人一家阿母坊表，吊丧待谒道南堂
无端风雨惊花落	更起楼台待月明
无能事乃能无事	不善言而善不言
无能事而能无事，无事则无事事矣	不可解即可不解，不解以不解解之
无补清时，终老书丛原宿志	偶谈瀛海，重摊诗卷纪前游
无锡锡山山无锡	平湖湖水水平湖
无限感时心，眼底沧桑归一瞬	未偿医国愿，箧中方药亦千秋
既作女子身	而无寿者相
既儆既戒，惠此中国	来旬来宣，至于太原
既勤垣墉，定大门户	以蔽风雨，有此屋庐
既勤垣墉，斯是陋室	以蔽风雨，相协厥居
既富加教	维地承天
既己上台，不怕大家在旁边看戏	自能了局，何劳诸位替古人担忧
既已摩顶庵中，宜守空王戒律	何故画眉窗下，偏学京兆风流
既死莫伤心，好料理身后事宜，休弄得七颠八倒	再来还是我，且撇下生前眷属，重去寻三党六亲
既登傀儡场中，须要眼孔放开，细观者样行为，转瞬间此兴彼败	得入攀挤队里，切莫脚跟无定，难怪那些摇动，一霎时东倒西歪
日丽丹山，云绕旌旗辉凤羽	祥开紫禁，人从阊阖觐龙光
日丽凤和人乐	国强民富年丰
日丽彤墀，四表光华瞻正朔	云凝宝仗，万方歌舞庆同春
日丽重宵，天上万家城阙	云开半岭，眼中武帝旌旗
日丽金门，五色云屏三岛近	风和玉殿，九霄彩仗百花新
日之升，月之恒，万年延宝祚	天所覆，地所载，亿祀奠金瓯
日吞夹金绞银饭	夜饮龙须虎眼汤
日在东，月在西，天上生成明字	子居右，女居左，世间配定好人
日在东月在西天上生成明字	子居右女居左世间配定好字
日夜长浮，不用千篙争上水	乾坤屹立，独能一柱砥中流
日岁能预期廿载后如今日健	群芳齐上寿十年前已古来稀
日日携空布袋，少米无钱，却剩得大肚宽肠，不知众檀越，信心时用何物供养	年年坐冷山门，接张待李，总见他欢天喜地，请问这头陀，得意处是甚么来由
日日携空布袋，少米无钱，却剩得大肚宽肠，不知众檀越信心时，用何物供养	年年坐冷山门，接张待李，总见他欢天喜地，请问这头陀得意处，是甚私来由
日映东隅，被光华于艺圃	源流北海，挹沆瀁之文澜
日暖风凋雨顺	家和人寿年丰
日暮乡关何处是	古来征战几人还
日月双辉惟仁者寿	阴阳合德真古来稀
日月同悬出师表	风云常护定军山
日月并明，万国仰大明天子	丘山为岳，四方颂太岳相公
日月庆重光，外梱悬弧内梱帨	冈陵鲁戬谷，南山有杞北山莱
日月明朝昏，山风岚自起，石皮破仍坚，古木枯不死	可人何当来，千里重意若，永言咏黄鹤，士心志未已
日月阎罗殿	风霜业镜台
日有所思，经史如诏	久于其道，金石为开
日本结交，戏语称儿平秀吉	泷冈表德，雄文述母欧庐陵
日消残醉闲吟里	梦入青藤古木间
日照纱窗，莺蝶飞来，映出芙蓉牡丹	雪落板桥，鸡犬行过，踏成竹叶梅花
日耀东瀛，璇室问安云似绮	星回北斗，珠宫寄赏物皆春
日落香残免去凡心一点	炉熄火尽务把意马牢栓
日边冲要无双地	天下繁难第一州
日食一升饭，勿饮酒	不读五千卷，莫入门
旧书不厌百回读	佳客时来一座倾
旧书不厌百回读	新诗说尽万物情
旧书细谈犹多味	佳客能来不费招
旧事总惊心，阶前桧贼	感时应溅泪，庙侧花神
旧宅拜新恩，桂子宫中明月满	一官兼两地，藤花厅外白云深
旧官宁改汉	遗恨失吞吴
旧梦绕觚棱，桑解再回京洛辙	欢言洽尊酒，萍踪一散皖江楼
旧画一堂，龙不吟，虎不啸，花不闻香鸟不叫，见此小子，可笑，可笑	残棋半局，车无轮，马无鞍，炮无烟火卒无娘，喝声将军，提防，提防
旧鬼烦冤新鬼哭	他生未卜此生休
早从黄石，晚从赤松，问古来退步英雄，崛强谁如此老	大儿文举，小儿德祖，看膝下拜庭肃穆，欢喜共祝长生
早死一时天有眼	再留三日地无皮
早知平等冤亲，何必分明问仇者	熟计苟全性命，愿将愚鲁祝求生
早说惠连才，天下文章已无我	差同郗鉴识，座中子弟独奇君
旭临鳷鹊初升，华祝腾欢连月窟	仗转蓬莱徐引，宸居茂对洽春台
旭日临门早	春风及第先
旭日丽龙楼，瑞气春融珠树迥	卿云笼鹤禁，祥光晴护玉阶平
旭日射铜龙，上阳春晓	和风翔玉燕，中禁花浓
旭日横空出世	腊梅做雪迎春
旭日融和开柳眼	春风摇曳送莺喉
时事孔艰，要救得叔世人心，为国家力持根本	嫌疑不避，但勉完粗官职分，与僚属共励公忠
时事迫艰危，今日朝廷方旰食	学人志康济，此时粗粝亦民膏
时契幽怀同静气	因观流水悟文情
时御天风跨鸾凤	或入碧海掣鲸鱼
时节不可玩	风期谁复赓
旷典迈千秋，带砺台衡，天锡殊纶荣卫霍	仁恩周十省，韬钤黼黻，人从华屋仰皋夔
旷古圣人稀，能以逍遥传世法	平生帝王学，只今颠沛愧师承
旷怀扫氛翳	公论悬日星
旸雨协丰，占征念九畴之八	京垓增泰，筴呼闻万寿者三
昆仑山人初入都，客淮南李公春芳所。时世宗斋居西宫，建设醮坛，敕大臣制青词一联悬于坛门。春芳使山人为之。山人走笔题曰：‘洛水灵龟初献瑞，阳数九，阴数九，九九八十一，数数通乎道，道合元始天尊，一诚有感	岐出威凤两呈祥，雄声六，雌声六，六六三十六，声声闻于天，天生嘉靖皇帝，万寿无疆。’李以进呈，深加奖赏。由是公卿互相延誉。其本传谓‘大臣应制青词多假手山人’者以此。乃他人移之别氏，则以雕虫为山人讳也
昆明半勺持相寿	苜蓿一盘延大年
昊岁启三元，含和籥转	尧曦光四表，承照华敷
昌黎起八代之衰，想当年苜蓿斋中，不过寻常博士	文正以天下为任，问今日虀盐队里，可有此等秀才
明公家法有礼堂手订之经，异日当成通德里	此地昔时多燕赵悲歌之士，为我一吊望诸君
明刑剂梭伦商鞅诸家之平，此署为上江百城领袖	折狱求天理人情二者相合，是谋即司法独立精神
明千秋大义	为国家除奸
明日逢春好不晦气	终年例运少有余财
明日逢春好不晦气	终年倒运少有余财
明月不离光宅寺	清风常渡出山钟
明月不长圆，过了中秋终是缺	高风安可仰，如何一别再难逢
明月共天涯，看云影波光，恍疑身在江南，访当年佛祖谈禅，诗仙留带	春风移岭表，趁蕉阴椰叶，偶尔步来城北，问何处韩公遗碣，常相残碑
明月几时有，更上层楼，问棋子声中，谁操胜算	美人犹未来，且摇小艇，向藕花香里，自遣闲情
明月双溪水	春风满县花
明月有恒纪年合献九如颂	长春不老添润当称百岁人
明月梅花，拜祁连高冢	疾风劲草，识板荡忠臣
明月清风，不用一钱买	传神写照，正在阿堵中
明月清风怀入梦	残山余水读遗诗
明月清风深有味	左图右史交相辉
明月自来去	空潭无古今
明月自来去绕廓荷花三十里	空潭无古今拂城扬柳一千株
明月超然怀远鉴	绪风和处觉春生
明月雪时，金尊酒满	风日水滨，碧山人来
明朝还访二千石	一日更须三百杯
明眼怕看人，万事思量惟酒好	湖边能醉日，一春不惜买花钱
昏醉遍人间，世多湎狂，维昔已然，何忍为独清独醒	疮痍满天下，公擅医术，而又不作，谁与任治国治民
易名兼胡左两公，十六字天语殊褒，异数更兼棠棣并	伤逝与彭杨一岁，二三子辈流向尽，英才尤惜竹林贤
易箦预知时，一日期先曹太傅	盖棺先定论，千秋名并阿文成
昔人已乘黄鹤去	大江无尽古今流
昔以孤幼旅寓申江，自伤老大无成，有类夜行须炳烛	今为童蒙特开讲舍，所望髫年志学，一般努力惜分阴
昔先君末命，权可为经，以义定名谁敢废	恨吾母新丧，轻不加重，称情持服竟无由
昔年寄伏波军中书，画虎名言，手示当归曾寄我	今日返春申江上棹，闻鸡噩梦，心伤独活不名公
昔我北归，我哭母殡，今我西归，我承兄衾，频岁奔波，遥见故乡心辄悸	夺吾伯氏，吾绝师资，夺吾仲氏，吾失友助，诸孤荏弱，独支全局力难任
昔我来时花未开，今日花时我未来，也算神交，难道是前身缘法	搔首问天天不语，低头问花花笑汝，别无好句，那许做大地闲人
昔扰荆蛮，历汗马百战场，说分茅有九溪父老	今非明社，剩卧牛一抔土，问守冢到几叶儿孙
昔抚滇为安土，今挈滇为义民，滇有人耶，永永勿坠两范	护国公之至仁，出世公之大智，公则仙矣，蹙蹙请瞻四方
昔时尝品惠山水	异日期为少室游
昔时未读五车书，雅量清心，温如玉，冷如冰，是大将实是大儒，使天下讲道论文人愧死	此日竟成千秋业，忠肝义胆，重于山，坚于石，忘吾身不忘吾主，任世间寡廉鲜耻辈偷生
昔时未读五车书，雅量清心，温如玉，冷如冰，是大将实是大儒，使天下讲道论文人愧死	此日竟成千载业，忠肝义胆，重于山，坚于石，忘我身不忘我主，任世间寡廉鲜耻辈偷生
昔晚唐建安余氏肇启书林，世界阅千余岁矣，其后三峰万卷，同时梅溪秀岩，文采风流，我思古人，聊从公等纂坊肆雅闻，缥缃掌故	自北宋布衣毕生始为活板，变迁可一二数耶，近稽兰雪桂坡，上溯石经漆简，棣通演进，以有今日，何况此间称水陆形胜，东南管枢
昔有龚黄，千古名传循吏去	贤如颜范，一麾我步后尘来
昔说是州今是县	大江之尾海之端
星云丽近中秋节	山海祥开益地图
星云照耀辉天禄	山海崇深荟地灵
星斗芒寒君子墓	风雷灵护圣人碑
星琯叶珠杓，祥开万象	云屏通碧汉，瑞启三阳
星转璇杓，光映卿云五色	春回玉琯，祥开彩胜千枝
星辉南极岁之始	雨足西江云自闲
春七日，秋七日，七见来复之心	五重午，九重阳，重叶刚中之德
春为一岁首	月傍九霄多
春从天上至	人在镜中行
春从天上至	水由地中行
春光遍草木	佳气满山川
春八千、秋八千纪算	前重九、后重九称觞
春到山乡处处喜	喜临农家院院春
春到碧桃树上	莺歌绿柳楼前
春台煦育歌绥万	化日舒长纪大千
春回先富村	村富先回春
春回大地千峰秀	日暖神州万木荣
春回大地	福满人间
春夏各有实	鱼鸟亦相亲
春夏秋冬一岁川流不息九曲夷山采雀舌	东西南北四方宾至如归一溪活水煮龙团
春妆祖国春不老	喜看侨乡喜气多
春工遇物初不择	酒圣于吾亦庶几
春归花不落	风静月长明
春归花外燕组织	雨洗林间翠欲流
春情寄柳色	日影泛槐烟
春暖花朝彩鸾对箅	风和月丽红杏添妆
春暖花朝彩鸾对舞	风和丽月红杏添妆
春暖风和日丽	第丰物阜民欢
春梦惯迷人，九环仙骨，误著了一品朝衣，任鸡鸣紫陌，马踏红尘，军门向那头跳出	空山曾约伴，六诏杯茶，犹记得七闽片语，看剑影横天，笛声吹海，先生从何处飞来
春水初生，系怀左右	清风惠及，盛领情文
春水绿波扬子渡	梅花明月状元山
春水绿浮珠一颗	夕阳红湿地三弓
春水船如天上坐	秋山人在画中行
春江桃叶莺啼湿	夜雨梅花蝶梦寒
春满勤劳门第	喜融幸福人家
春眠未觉花心动	夏礼能言杞足征
春秋纪合八千岁	甲子周回三万旬
春秋补小月	山水有清音
春秋表未成，幸有佳儿述诗礼	纵横计不就，空余高咏满江山
春窗绣出鸳鸯谱	夜月捍斟琥珀杯
春窗绣出鸳鸯谱	夜月香斟琥珀杯
春纪八千，和风翔寿宇	皇居九五，香露霭仙宫
春耕夏耘，秋收冬藏，万物育焉，鬼神之为德	雷出地奋，云行雨施，百室盈止，膏泽下于民
春能蕴藉如相识	风入襟怀只自知
春自寒梅唤起	香由乳燕衔来
春草满庭吐秀	百花遍地飘香
春随香草千年艳	人与梅花一样清
春雨桑楼，无限落花悲帝子	秋风剑阁，有人洒泪吊将军
春风又度营门，也来刲鸭烧豚，与诸君痛饮屠苏，好雪夜夺关，计平淮蔡	黠冠环窥庭户，当此外忧内患，率健儿先除伏莽，听江天鼓角，直出荆襄
春风善也	时雨化之
春风堂上初来燕	细雨庭前乍开花
春风春雨春色	新年新岁新景
春风绛帐谈家国	绕膝扶床戏子孙
春风迎绿树	山色上红楼
春风阆苑三千客	明月扬州第一楼
春驾苍龙，青阳临左陛	云开丹凤，紫极丽中天
昨夜敲棋寻子路	今朝对镜见颜回
昨夜春风入户	今朝喜气盈门
昨夜春风才入户	今朝杨柳半垂堤
昨者作堂名醉墨	朝来拄笏看西山
昨送一年去，今迎一年来，法天布新除旧	我尽几分心，人蒙几分福，折狱非佞惟良
是一般傀儡登场，漫道说台上衣冠是假	不过与痴人说梦，休认做眼前富贵为真
是中华道德所放之色采	为民国伦纪先植其根基
是为儒林丈人，看桃李花，皆松柏荫	试问吾乡学务，登泰岱者，以筚路先
是亦大学缩影	此为正蒙始基
是人间父母神明，大被万家，遗爱长留钜鹿笏	遍海内门生知己，心香一瓣，失声同哭岘山碑
是何意态雄且杰	不露文章世已惊
是包孝肃海忠介一流，而无其位	共王彦方马少游千古，抑又何悲
是可忍也，必其人为木石心肠，秦越肥瘠	登斯堂者，当到处免孤寒失所，漂泊无归
是名士风流，作画裁诗，自昔宦情原久淡	以宰官说法，浣衣脱粟，算来福命尚留余
是国家可惜人，叹三馆名流，君不长年我偏寿	为亲友辄作恶，下两行老泪，别犹足恨没何堪
是处登临有风月	略无踪迹到波澜
是大教育家，而未普及国民，徇铎心长，美犰有恨	以穷诸生老，且又横遭谤口，盖棺论定，德却无疵
是天台古洞烟霞，眷念旧游，蓬山此去无多路	问当日楚宫心事，凄凉故国，鹦鹉前头不敢言
是尝从吾游焉，一鹤孤舟，千叠愁心在江上	今并斯人已矣，只鸡斗酒，数行清泪洒城南
是布衣卅载之交，既痛逝者，行自念也	虽蒲帛屡征不起，所谓大臣，然则从欤
是我佳妇佳儿，石火光中弹指过	愿汝他生他世，莲花界里并头开
是是非非，非非是是，是非不分	正正反反，反反正正，反正一样
是是非非，非非是是，是非不分	正正反反，反反正正，正反一样
是淮军杰出奇才，龙性难驯，休沐辄寻黄石约	与国家规宏大业，刍言谬采，入朝曾草皂囊封
是父生是子，家学一门，自昔声名弥宇宙	难兄更难弟，象贤两世，至今俎豆重乡邦
是男儿都断好头颅，算我输公，强项真为地方死	盈天下已多新涕泪，更难堪此，舆尸不见使君来
是禅宗觉路	非吾道旁门
是纵横捭阖之才，睥睨到时流，也如太白当斗，雅有狂名惊海内	从陵谷变迁而后，凄凉悲故旧，一样兰成身世，只余词赋动江关
是色是空，于一毫端见宝王刹	无台无榭，坐微尘里转大法轮
是襄勤旧部最骁果善战之伦，燕然纪绩，马革裹尸，西域东陲名不朽	与畴武诸君皆出师未捷而死，风雨怀人，鼙鼓思将，私情公谊涕横挥
是谁将眼孔放开，看得穿大千世界	到此要脚跟站定，才许入不二法门
是谓太平之世，曰雨而雨，曰旸而旸	则知小人之依，先忧而忧，先乐而乐
是豪杰下场，爱国舍身，名已千古	这迷离公案，摘奸发伏，责在藐躬
是遗老不是逸民，居东海滨，渴想斯人来日下	为隐士亦为政客，祝南山寿，会看残菊傲霜枝
是马伏波一流人，论定盖棺，薏苡明珠空有谤	望玉门关万里外，酒残闻笛，春风杨柳共招魂
是鳏寡孤独外别一种无告穷民，我只当儿女看来，欲借慈航渡孽海	于罟擭陷阱中开这条放生大路，谁能把繁华唤醒，不留地狱在人间
昼了公事，夜接诗人，得句皆堪作图画	修禊虹桥，访碑禅智，此才真不负江山
昼锦迓潘舆，忽感邻舂惊罢社	春晖违宋幔，恰当佛诞证生天
显扬之谓何，筋力渐衰	叹利名无就，教诲不可
晏婴近市	潘岳面城
晏婴齐仁人，一言而溥天下利	孔子鲁司寇，无讼当为百世师
晒书因阅画	闲坐但焚香
晓岚确是神行太保	云楣不过圣手书生
晓烟贴地鱼盈浦	空水沿篱韭出畦
晚年余韵类亭林，独惜兴已阑珊，青主箴言不再见	此老胸中师白石，都道花无啼损，小红遣去有深心
晚浴池塘涌动一天星斗	早登台阁挽回三代乾坤
晚节与革命相始终，名为黄蔡战功所掩	盖棺届长沙之陷落，诔较焦陈横死尤哀
晚读万卷书，壮学万人敌	生名十室邑，死传十字碑
晚霞映水，渔人争唱满江红	朔雪飞空，农夫齐唱普天乐
晤言纷在瞩	惠心清且闲
晨餐东海狞龙鲊	夜草南山猛虎行
景丽三春天台桃熟	祥开百世金谷花娇
景丽瑶墀，鸾鹤翔空腾庆霭	春回琼岛，鱼龙献瑞展新图
景命寿于旗翼	淳风鬯彼垓埏
景福集璇宫，亿万斯年永登仁寿	慈云辉宝殿，千八百国莫不尊亲
景纬霞敷，星罕灿三辰珠壁	元和春盎，云璈宣六代咸英
景运舒长，天上庆云环紫极	太和翔洽，日边甘露湛瑶墀
晴晴雨雨时时好好奇奇	奇奇好好时时雨雨晴晴
晴绿乍添垂柳色	春流时泛落花香
晶字三个日，时将有日思无日，日日日，百年三万六千日	品字三个口，宜当张口且张口，口口口，劝君更尽一杯酒
智不惑，仁不忧，勇不惧，推翻帝制，计出万全，如公建筑之宏，仅称卫桑梓功，犹藐乎小	捍大患，定大策，决大疑，有数人才，又弱一个，恨我赴援太晚，既上为国家惜，复哭其私
智勇冠当代	卓荦观群书
智含渊薮	絜如圭璋
智欲圆而行欲方，胆欲大而心欲小	正其谊不谋其利，明其道不计其功
智水仁山，在此堂宇	经神学海，发为文章
智理周万物	远怀柔九州
暂借荆山栖彩凤	聊将紫水活蛟龙
暍病只须臾，却忘人世死之痛苦	刚肠多愤嫉，固识我公生不佯狂
暑鼠凉梁，笔壁描猫惊暑鼠	饥鸡拾食，童桶翻饭喜饥鸡
暗室中须问心得过	平地处亦失足堪虞
暗水流花径	清风满竹林
暮天遥对寒窗雾	雾窗寒对遥天暮
曰儒家，曰革命家，盖棺论今定	以瘁死，以忧国死，铸像礼亦宜
曰宫曰殿，曰幸且曰奔，诗史留题，千古犹存正统	书吴书魏，书汉不书蜀，儒臣特笔，三分岂是偏安
曰苟曰苟复曰苟	于斯于斯又于斯
曲录三弓，庾信有园难拓地	连蜷一本，刘安之树可留人
曲江山水闻来久	庾信文章老更成
曲谱南薰四月清和逢首夏	樽开北海一家欢乐庆长春
更从何处得一妄语	每于介中见其和神
更傍紫微瞻北斗	还将彩服咏南陔
曹公教弩台尚在	吴主飞骑桥难寻
曹孟德横槊江上，温太真击楫中流，同一义勇	韩平原定议伐金，周公瑾力排降魏，各自英雄
曾上吴山，看万顷胥涛，与我相将吊江水	重来沪渎，剩一抔徐墓，思君况是念家山
曾从二千石起家，衣钵新传贤子弟	难得八十翁就养，湖山旧识老诗人
曾从山水窟中来，秋色可人，征袂尚留巫峡雨	欲向海云深处住，邮程催我，扁舟又问浙江潮
曾作两朝天子	亦称一代圣人
曾侯之正，左傅之刚，惟公鼎足其间，中兴大业三人杰	宏景无才，长源无识，抑我私心所仰，南岳诸蜂一老臣
曾受双戟单刀，长于葛洪者剑	所谓粗块大脔，奄有陈亮之文
曾经沧海千层浪	又上黄河一道桥
曾谓当日我公遂以是为孝乎	足愧千秋人子而并不能养者
替苍生请命而来，为同胞造福而死	谢曾左彭胡之过，竟唐谭陈禹之功
最喜荷花环佛界	每量湖水问渔人
最怜儿女无知，犹自枕伴娇啼，问阿母重归何日	但愿苍穹有眼，补此人间缺憾，许良缘再结来生
最是一年春好处	乐为两岸月圆时
最防官折儿孙福	难得人称父母名
最难偕老稀龄，重堂看列笏	尚有朝飞一操，枯泪听哀弦
月上斗圆光，示教禅心兼法味	风吹清梵乐，归诚景福应真言
月下三升酒	风前万里山
月中渐见山河影	天上新承雨露恩
月似丹光出高岭	鹤因梅树住前山
月借眉痕秋淡处	香销心字夜深时
月光留客横拦路	花影瞒人斜过墙
月圆人共圆，看双影今宵，清光普照	客满樽俱满，羡齐眉此日，秋色平分
月圆月缺，月缺月圆，年年岁岁，暮暮朝朝，黑夜尽头方见日	花开花落，花落花开，夏夏秋秋，暑暑凉凉，严冬过後始逢春
月寮烟阁标清兴	文府书城纵古今
月寮烟阁标清兴	文府书城纵道心
月明如昼	江流有声
月明如昼	色即是空
月月月明八月月明明分外	山山山秀巫山山秀秀非常
月朗晴空今夜断言无雨	风寒露冷来晚必定成霜
月沼观心清若镜	云房养气润于珠
月照寒枫，空谷深山徒泣泪	霜封宿草，素车白马更伤情
月照纱窗，个个孔明诸葛亮	雪飘梅岭，处处香山白乐天
月白风清其有意	斗量车载已无名
月色如故	江流有声
月色如故铜琶铁板，大江东去	江流有声月明星稀，乌鹊南飞
月阶夜静蛩声切	竹院秋音鹤梦凉
有一刻闲，且勤我职	无十分屈，莫入吾门
有万夫莫当之勇	无一事自足于怀
有三分水，二分竹，添一分明月	从五步楼，十步阁，望百步大江
有三分水二分竹添一分明月	从五步楼十步阁望百步大江
有争气者勿与辨	当得意时须少言
有亭翼然，占绿水十分之一	何时闲了，与明月对影而三
有亭翼然，占绿水十分之一	何时闲了，与明月对饮而三
有人皆亡，无国可瘁，此境殆非遥乎，悯众生灭度众生，天意深沉，宜先拔精华以去	因死得逸，谓鬼曰归，达观姑云尔耳，入地狱庄严地狱，精灵仿佛，其忍与浊世相忘
有佳偶先地下驱狐狸，死亦奚恨	无大力为当世搏豺虎，生何以堪
有使君数十辈错布方州，则天下不足治	论今世二千石之勤民事，微我公谁与归
有偷色婉容斯为美	无矜才使气以遗罹
有关家国书常读	无益身心事莫为
有冤的报冤，有仇的报仇，痛兹奇祸飞灾，想无数阴魂，定向空冥叫阊闾	天助自助者，佛度自度者，参透前因后果，这一场噩梦，请从泡影证真如
有半点生死交情，方许入庙谒帝	无一毫光明心迹，何须稽首焚香
有史公作传如生。爱客若君，真令读者慷慨悲歌不已	其门馆流风未谢，于今视昔，问谁能拔抑塞磊落之才
有同嗜焉，从吾所好	不多食也，点尔何如
有善相劝，有过相规，如君不愧师兼友	知死者哀，知生者吊，使我难禁哭当歌
有地在心，不求风水好	无田亦祭，只要子孙贤
有声当彻天，有泪当彻泉，长恸难忘后山语	甚知丈人真，甚愧丈人厚，只今空上左丞诗
有备师干，驾驭当资军纪肃	不苛公过，权衡常惜将才难
有大人先生席地幕天，能荷锸自随则可	非遗世独立漱流枕石，至篨衣不掩奈何
有天皆丽日	无地不春风
有威可畏，有仪可象	无本不立，无文不行
有子尽抑塞磊落奇才，谁能拔者	惟公真富寿康宁备福，持以诔之
有子有孙，都成名进士	多福多寿，是谓太夫人
有子能文，横大湖以西，异军特起	何人濡笔，踵天禄而后，列女续编
有子荷戈庶无愧	为人推毂亦复佳
有孙将略通儒略	此老德星应寿星
有孚在道明功也	同寅协恭和衷哉
有客临舟怀帝子	何人下榻学陈公
有客如擒虎	无钱请退之
有客悼亡，年年白雁黄花节	招魂何处，夜夜青天碧海心
有客醉，无客睡，福简简吁可愧	长歌粗，短歌疏，诗平平聊自娱
有德流仁讴歌送喜	增荣益誉眉寿保年
有忍乃有济	无爱即无忧
有志者，事竟成，破釜沉舟，百二秦关终属楚	苦心人，天不负，卧薪尝胆，三千越甲可吞吴
有惠人心，可来兹地	无君子德，莫登此堂
有所愁便写，无可道便罢休，君若问神仙，试想想崔李本事	一自下故深，百能容故博大，我来望江汉，长殷殷官胡替人
有才人一序在上头，恨不将鹦鹉洲踢翻，黄鹤楼捶碎	叹沧海横流无底止，慨然思班定远投笔，终子云请缨
有才子八人，采献莱衣，林壬大备	先立春三日，厘延柑酒，花甲初周
有文事，有武备，与神为谋	无智名，无勇功，唯圣时克
有断头将军，无降将军，惟我公滚滚血潮，沅湘流不尽	弗舍身地狱，谁入地狱，看今日巍巍铜像，豪杰死犹荣
有无不争家之乐	上下相亲国乃康
有时自向竹间坐	无事一至兰若游
有时袖手惟观奕	每到低头为乞花
有暇便须亲典籍	得官何异到蓬莱
有杀气卷八百里洞庭而去	以战血起四千年黄帝之魂
有水园亭活	无风草木闲
有水有田方有米	添人添口便添丁
