好山一窗足	佳景四时宜
鸡鸣曙日红，万里金光辉瑞霭	柳舞春江绿，千重锦浪映丹霞
鸡唱月归，一线长天皆瑞霭	犬歌日出，九州大地尽朝晖
鸡携竹叶去	犬踏梅香来
戌刻花灯亮	狗年喜气盈
金鸡争报晓	玉犬喜迎春
白梅凌雪尽	黄耳报春来
犬厉堪欺虎	鱼灵巧化龙
春晓金鸡唱	岁宁黄耳勤
金鸡歌国泰	义犬报民安
燕剪千丛锦	犬迎万户春
花犬观鱼乐	青云羡鸟飞
金鸡报捷去	锦犬送春来
金鸡追竹叶	黄耳踏梅花
犬守太平世	梅开如意春
鸡舞三多日	犬迎五福春
金鸡歌晓旦	玉狗问平安
春来燕子舞	犬献雪梅图
犬护祥和宅	人过幸福年
金鸡辞禹甸	玉犬乐尧天
春眠强国梦	犬护富民家
春光明盛世	玉犬贺新年
户展新春景	家传义犬图
犬献梅花赋	鸡留竹叶图
德禽鸣福寿	义犬保平安
犬守平安日	梅开如意春
鸡鸣知日上	犬吠报春来
玉鸡迎晓日	黄犬唤春风
狐从官道过	犬刺客门开
戌日呈帧瑞	狗年臻福祥
鹿衔长寿草	犬踏报春花
月明柳下虫鱼静	日照人间鸡犬喧
丰年富足人欢笑	盛世平安犬不惊
九州日月开春景	四海笙歌颂狗年
四季平安黄犬誉	九州锦绣玉龙飞
戌岁兆丰千囤满	狗年祝福四时安
日新月异雄鸡去	国泰民安玉犬来
报晓司晨辞旧岁	尽忠守夜接新班
犬守家门门有喜	毫敷毛笔笔生花
犬吠鸡鸣春灿烂	莺歌燕舞景妖娆
鸡岁已登千仞塔	犬年更上一层楼
鸡因富裕纵情唱	犬为平安放胆眠
三多竹叶雄鸡画	五福梅花义犬描
犬踏霜桥迎五福	鸡登雪石报三多
犬卧宅阶知地暖	鹊登梅萼报春新
犬守门庭何叫苦	马驰远路不辞难
春风六九观狮舞	气象万千乐狗年
疏柳鸣莺千谷静	新春卧犬一村安
犬看门户民长泰	法治国家世永春
神犬看门门户泰	宏钟警世世风清
瑞雪翩翩兆稔景	犬蹄朵朵报春花
方观竹叶舒鸡爪	又赏梅花印犬蹄
锦鸡报捷摇金步	黄犬迎春跃玉阶
鹤鸣松柏人丁旺	犬守门庭社稷安
戌时火树银花夜	狗岁丰衣足食人
稔岁金鸡舒健羽	新春义犬守华门
狗为宠物成时尚	鹊报福音过大年
年逢大有牛羊壮	国步小康鸡犬宁
新春玉犬门前卧	华夏金龙天外飞
金鸡有信鸣新日	玉犬无私守旧家
鸡鸣岁尾千家乐	犬吠年头万户安
春光明媚燕莺舞	社会文明鸡犬宁
满门结彩春花放	举世澄明玉犬来
警犬擒凶臻大治	神龙强国起宏图
柳浪闻莺千里秀	春台卧犬万家安
新年伊始山川秀	玉犬初临日月长
金鸡报晓迎春至	黄犬守更接福来
风流一代玩狮夜	气象千端入犬年
月异日新鸡报晓	年祥岁吉犬开门
警犬扬威镇腐恶	神龙得志叱风云
戌岁兆丰百事顺	狗年祝福四时宁
龙翔华夏迎新岁	气搏云天奋犬年
戌岁祝福万事顺	狗年兆丰五谷香
犬吠鸡鸣春灿灿	莺歌燕舞日瞳瞳
犬卧阶眠知地湿	鸟临窗语报天晴
鸡追日月雄风舞	狗跃山河瑞气生
月明松下房栊静	日照云中鸡犬喧
国富民强缘改革	鸡鸣犬吠报升平
狗护一门喜无恙	人勤四季庆有余
雄犬偏能欺得虎	黄沙自可变成金
犬画红梅臻五福	鸡题翠竹报三多
日新月异鸡报晓	岁吉年祥狗看门
警犬擒凶功可誉	群龙除孽世能昌
金鸡报捷梅花俏	义犬迎春柳色新
金鸡刚唱丰收曲	黄犬又开富裕门
金鸡献瑞饮郅治	玉犬呈祥展宏猷
辞旧灵鸡歌日丽	迎新瑞犬报年丰
甲第张灯光吉庆	戌时焕彩乐祯祥
戌犬腾欢迎胜利	酉鸡起舞庆荣归
鸡为岁归留竹叶	犬因春到献梅花
四海升平花荫卧犬	五湖秀丽柳浪闻莺
鸡司晨阳光灿烂前程似锦	犬守夜岁月峥嵘美景如春
去岁鸡司晨风调雨顺	今年犬守夜国泰民安
神犬续天鸡九州吟雪尤吟岁	新春临大节万众拜年不拜金
除旧鸡鸣唱出光明盛世	迎新犬吠传来改革佳音
腊酒谢金鸡，唱遍神州歌大有	春风催吉犬，迈开健步跃高峰
六畜猪为宝	四时春最新
虽属生肖后	却居六畜先
生财猪拱户	致富燕迎春
猪年兴旺	槽头发财
亥来四季美	猪献满身肥
人开致富路	猪拱发财门
农户百猪乐	神州万象新
猪年春意闹	龙舞国威扬
春丽花如锦	猪肥粮似山
猪拱财源旺	龙腾国运昌
猪血红泥地	羊脂白玉天
天狗驱寒尽	宝猪带暖春
猪肥粮茂盛	民富国昌隆
猪肥家业旺	春好福源长
阳春臻六顺	猪岁报三多
狗守太平岁	猪牵富裕年
养猪能致富	放鹤可延年
猪是家中宝	粪为地里金
亥时春入户	猪岁喜盈门
守家劳工狗	致富有金豕
猪拱门如意	鸡鸣岁吉祥
亥时看入门	猪岁喜盈庭
养猪能致富	有志莫忧贫
守家夸玉犬	致富赞金猪
猪是农家宝	龙为中国根
猪大能如象	肥多可胜金
天好地好春更好	猪多粮多福愈多
吉日生财猪拱户	新春纳福鹊登梅
朱门北启新春色	紫气东来大吉祥
猪为六畜首	农乃百业基
人增福寿年增岁	鱼满池塘猪满栏
丰稔岁中猪领赏	新台阶上步登高
人逢盛世情无限	猪拱华门岁有余
名题雁塔登金榜	猪拱华门报吉祥
狗问平安随腊去	猪生财富报春来
狗年已展千重锦	猪岁再登百步楼
金榜题名光耀第	喜猪拱户院生财
科技财神尊上座	吉祥猪崽报新春
朱红春帖千门瑞	翠绿柳风万户新
猪拱家门窗贴画	鹿衔寿草福临门
孟春之月方营室	宝盖进豕恰是家
狗岁已赢十段锦	猪年更上一层楼
猪是财神登万户	燕为春使舞千家
燕衔喜信春光好	猪拱财门幸福长
狗蹲户外家长泰	猪拱门前户发财
景象升平开泰运	金猪如意拱财源
爆竹升天送狗岁	春花遍地缀猪牛
洽逢盛世猪如象	喜庆新春鱼化龙
瑞雪纷飞清玉宇	花猪起舞贺新年
腾龙跃马逢新世	送犬迎猪贺大年
两年半夜分新旧	万众齐欢接亥春
花香鸟语春无限	沃土肥田猪有功
景象承平开泰运	猪肥如意获丰收
猪增财富新春喜	燕舞祥和旧主欢
狗守家门旧主喜	猪增财富新春欢
时势安定蔚景象	猪年如意获丰收
瑞雪光丰六瓣锦	年猪吉利一刀清
骚人乐撰新春对	墨客欣书亥岁联
狗岁已赢十段锦	豕年更上一层楼
猪多粮足农家富	子孝孙贤亲寿高
戌年引导小康路	亥岁迎来锦绣春
狗守家门太平无事	猪承财宝富足有余
猪子一身皆是宝	亥年万事俱呈金
骏马金鞍跨上康庄路	肥猪元宝迎来大丰年
昨夕犬年欢歌迎大地	今朝猪岁新景满神州
岁将更始	时乃日新
天心随律转	人事逐年新
节日人共乐	神州地皆春
一元复始	万象更新
欢天喜地	吐气扬眉
一夜连双岁	五更分两年
腊随一夜去	春逐五更来
喜辞旧岁	笑迎新春
腊梅朵朵迎新岁	瑞雪飘飘兆丰年
一年复始九州同庆	八方和协四季平安
一年春作首	万事公为先
天开美景春光好	人庆丰年节气和
元起于一一心创业	旦即是朝朝气如春
国强家富人寿	花好月圆年丰
载歌载舞辞旧岁	自唱自乐迎新年
国历欣逢元旦节	新春合放自由花
五夜通明	天开美景
风清月朗	灯彩星辉
月光皎洁	银烛辉煌
万户鼓吹	银光有焰
一团拥宝炬	千点灿银星
巧人调玉烛	天下乐元宵
星桥铁锁	火树银花
树梢银花	心上春意
灯月千家晓	笙歌万户春
锦城灯结彩	花市月含华
火树银花合	星桥铁锁开
万家元宵夜	一街太平歌
灯楼灿明月	火树暖春风
天上一轮满	人间万里明
放手擎明月	开心乐元宵
明月千门雪	银灯万树花
九陌连灯彩	千门庆月华
花市千门月	灯街万户春
雪月梅柳开春景	花灯龙鼓闹元宵
天空明月三千界	人醉春光十二楼
笙歌声沸长春地	星月光映不夜天
一曲笙歌春似海	千门灯火夜如年
火树光腾城不夜	银花焰吐景长春
街头灯影逐花影	村中梅香伴酒香
万里春灯元夕宴	满街灯火太平歌
万家灯火同秋月	大地光明不夜天
中天皓月明世界	遍地笙歌乐团圆
三五星桥连月圆	万千灯火彻天街
玉烛长调千门乐	花灯遍照万户明
灯同月色连天照	花怯春寒傍火开
玉宇无尘千倾碧	银花有焰万家春
匝地楼台春富贵	喧天歌舞夜风流
万里河山铺锦绣	满城管弦乐太平
寒笳送走人间腊	晓角吹回雪里春
火树银花富贵色	良宵美景太平春
明月皎皎千门秀	华灯盏盏万户春
一帘春色门垂柳	万斛珠光地涌莲
及时大放光明夜	与物同游浩荡天
银花火树开佳节	紫气丹光拥玉台
光腾月殿流蟾魄	花灿星桥吐凤文
玉宇无尘一轮月	银花有艳万点灯
晴空一镜悬明月	夜市千灯照碧云
万户管弦歌盛世	满天焰火耀春光
喜地欢天饮美酒	张灯结彩市元宵
轮影暂移花树下	镜光如挂玉楼头
灯火交辉元夜里	笙歌簇拥月明中
明烛送来千树玉	彩云移下一天星
溶溶月夜连灯市	霭霭春光满夜城
飞龙舞凤成夜市	击鼓踏歌皆春声
天空明月一轮照	人醉春风万里明
碧树银台万种色	野花啼鸟一般春
三千世界笙歌里	十二都城锦绣中
赏灯极乐繁华地	秉灯同游不夜天
美人何处教歌舞	上将今宵夺昆仑
玉宇尘清一轮皓月	银花焰吐万盏春灯
明月一轮天开清淑	春灯万盏人乐太平
灯火万家良宵美景	笙歌一曲盛世元音
远景近景良宵美景	礼花鲜花火树银花
良辰三八节	妇女半边天
三八宏图展	九州春意浓
凤毛春济美	麟趾贵呈祥
昔日女界多贡献	当今巾帼再登攀
壮志结成四化果	红心顶起半边天
争当三八红旗手	敢胜九州铁血男
中华巾帼多奇志	当代女流胜伟男
树新风三八红旗飘万代	立壮志四化伟业拼一生
为妇女扬眉吐气	与男儿并驾争雄
祖国腾飞巾帼英雄创大业	神州巨变中华儿女展宏图
植树造林滋沃土	防风固水护良田
春夏秋冬四季绿	东西南北九州香
造林植树山川秀	种草栽花庭院香
处处造林林似海	家家植树树成荫
喜观树海葱茏日	笑见山花烂漫时
敢教荒山成绿海	誓将沙漠变青川
绿荫祖国处处山青水秀	改造自然年年林茂粮丰
树木对人同系千秋大业	爱家爱国常昭一片丹心
屋前宅后栽树延年益寿	隙地荒山造林利国富民
年年绿化造林无山不翠	岁岁蒙荫植树有地皆春
二月芳辰多胜景	百花诞日是今朝
百花齐放	四海同春
花香蝶飞舞	鸟语日初长
爱竹不除当路笋	惜花留得拂面枝
花馨溢佳节	香风漫早春
让丛丛绿树绿遍文明城市	叫簇簇香花香满美好乐园
继往开来追壮志	先前裕后慰英灵
相逢马上纷桃雨	喜见树前问杏花
先烈功垂千古	英明留传万年
槐火光明春替换	杏花消息雨传知
燕子来时新春	梨花落后清明
禁火今年逢春早	飞花锁日为人忙
寒食雨传百五日	花信飞来廿四春
睹物思亲常入梦	训言在耳犹记心
三月光阴槐火换	雨意前村市杏花
姓在名在人不在	思亲想亲不见亲
秀野踏青晨行早	芳草拾翠暮忘归
克勤称美德	劳动最光荣
掌握科学规律	发扬改革精神
鲜花献模范	美酒敬英雄
敢想敢为齐奋勇	克勤克俭共腾飞
雄心勇奋三连冠	壮志同描四化图
四化宏图酬壮志	两番大业树雄心
策马登程奔四化	闻鸡起舞有群英
挥毫共写英雄谱	展卷特书大业章
十亿同心鹏展翅	九州昂首马腾蹄
进取途中多志士	拼搏场上尽英雄
倒海移山豪情永在	改天换地其乐无穷
四化宏图呈曙色	千秋大举布春光
创业凯歌起	攻关胆气生
青春红似火	大志壮如山
当青年闯将	做时代英雄
一代新风树	百年大计兴
五四精神惊百代	万千美景待一笔
开华夏千秋盛举	展神州万古雄风
四有新人兴大举	八方俊秀绘宏图
莫让韶光付逝水	宜将烈火燃青春
时代青年耀今烁古	新兴事业继往开来
一代英豪九州生色	八方儿女四海为家
三春雨露共荣万树	一代风流同振九州
天中令节	地腊良辰
日逢重午	节序天中
保艾思君子	依蒲祝圣人
辰振逢地腊	建午届中天
门幸无题午	人渐不识丁
艾草飞香午门纳福	龙舟竞渡万水欢歌
榴裙萱黛增颜色	艾酒蒲浆记岁华
结艾钦头轻战虎	夺标船首惯乘龙
海国中天魂招屈子	江城五月笑看龙舟
绿艾悬门添藻彩	青蒲注酒溢芬芒
艾叶电旗招百福	菖蒲似剑斩千妖
画鼓朱旗锦标齐村	香罗细葛纱服新成
艾人驱瘴千门福	碧水竞舟十里欢
石榴映红日千门喜庆	鼓乐催龙舟万水欢歌
节启朱明榴花献瑞	盘陈角黍蒲酒怀贤
代代龙舟竞渡追怀屈子	年年角黍投江祭奠诗魂
艾叶吐幽芳香溢四海	龙舟掀巨浪气吞八荒
龙舟竞渡凭吊屈子怀石恨	赤县雄飞喜谱今朝爱国篇
美酒雄黄正气独能消五毒	锦标夺紫遗风犹自说三闾
续传接力棒	浇灌向阳花
早立凌云志	誓当接力人
千秋折桂手	一代接班人
祖国新花朵	未来小主人
三好学生明志远	一旗火炬映心红
学习勤奋争三好	德智优良树一流
年少宏图远	鸟雏志向高
抚育校园新花朵	培植祖国栋梁材
创建千秋大业	栽培一代新人
绽蕾花树株株秀	破土春笋节节高
幼苗逢喜雨百花吐艳	新树度春风万木争荣
六一儿童欢度节	万千花朵正宜人
共产党恩泽四海	毛主席名重千秋
政策英明开盛世	党风纯正惠民心
党恩春荡荡	家庆日融融
爱党心诚葵向日	孚民德重凤朝阳
国运昌隆民做主	人心欢愉党擎旗
花木向阳春不老	人民跟党志难移
马列光华昭大地	人民伟业启新猷
岁月逢春花遍地	人民有党志登天
政策光辉昭日月	人民智慧焕河山
桥填五夜来喜鹊	河渡双星会女牛
五夜照天汉	双星会女牛
莫谓人间多别恨	便疑天上有离愁
帝女合欢水仙含笑	牵牛迎辇翠鹊凌霄
鹊桥星度夜	燕馆月沉时
牛女二星河左右	参商两曜斗西东
银汉碧波凉生七夕	金钗钿盒夜拜双星
针好穿三孔	书宜曝五车
宏谋抒啸虎	士气奋扬鹰
山海金汤固	官兵铁铠寒
炮火慑敌胆	钢枪振国威
祖国铁龙阵	人民子弟兵
八一军旗红海宇	万千劲旅壮河山
天地有情留正气	江山无患慰忠魂
秉丹心报国	举赤手擎天
光荣传统光荣史	钢铁长城钢铁兵
军号入云添斗志	战旗映日动豪情
钢铁长城固	英雄军队坚
战士军中传捷报	英雄故里庆和平
白云丹桂边关色	明月清风将士心
热血洒疆土	铁臂筑长城
尊师重教	育才兴邦
催笋成竹	润花著果
碧血催桃李	丹心树栋梁
为国而教	作人之师
人才要靠教育培养	智力须从幼时开发
碧血育桃李	辛勤扶栋梁
栋梁砥大厦	桃李芳九州
愿作园丁勤浇灌	甘为烛炬尽燃烧
重教导师人文蔚起	育才献智国运昌隆
人梯巧搭登攀路	心血勤浇栋梁材
毕生心血哺新秀	一代桃李谱华章
讲台展开千秋画卷	宝岛绽放万树蓓蕾
千篇新诗园丁赞	万首衷曲育人歌
举国尊师兴伟业	栉风沐雨做园丁
为人师表诲而不倦	替国树才教必有方
丹心一片育新苗	赞歌千曲颂园丁
愿作人梯育新秀	甘为孺子当黄牛
展宏图基础是教育	起新步关键在人才
且喜满园桃李艳	莫悲两鬓霜雪寒
旭日灿星照学府	春风化雨育新苗
育才兴邦百年大计	尊师重教一代新风
国家辛勤一堂秀	桃李成荫四海春
热汗染成千顷绿	丹心育出万代红
春蚕巧织满园锦绣	红烛点燃一代心灵
培育名花香天下	造就栋梁建中华
终身育才人人敬	红烛火种代代传
立足本职献身教育	为人师表无尚光荣
尘中人自老	天际月常明
春秋多佳日	山水有清香
天上一轮满	人间万里明
明月映天	甘露被宇
露从今夜白	月是故乡明
二仪含皎洁	四海尽澄清
明月本无价	高山皆有情
一天秋似水	满地月如霜
中天一轮满	秋野万里香
冰壶含雪魄	银汉漾金波
薄惟鉴明月	高情属云天
皓月无幽意	清风有激情
半夜二更半	中秋八月中
亭空千霜月	水续万古流
霓裳舞起终宵朗	玉女歌扬彻夜辉
叶脱疏桐秋正半	花开丛桂树齐香
一逢喜事精神爽	月到中秋光辉增
笙歌曲中千家月	红藕香里万颗珠
轮影渐移花树下	镜光如挂玉楼头
三五良宵开玉宇	大千世界涌冰轮
日射晚霞金世界	月临天宇玉乾坤
鱼戏平湖穿远岫	雁鸣秋月写长天
爆竹声中千家月	红藕香里万颗珠
月静池塘桐叶影	风摇庭幕桂花香
喜得天开清旷域	宛然人在广寒官
一曲霓裳传玉笛	四围云锦拥金徽
黄菊绮风村酒熟	紫门临水稻花香
夏至本逢三伏热	重阳戊遇一冬晴
鼓琴仙度曲	种杏客传书
步步登高开视野	年年重九胜春光
三径归时秋菊在	满城近日雨风多
临风鸟帽落	送酒白衣香
何处题糕酬锦句	有人送酒对黄花
菊花早放铺金蕊	桑叶新开泻玉缸
东篱开寿菊	南陌献嘉禾
孟参军龙山落帽	陶居士三径衔杯
败兴无端满城风雨	登高何处插鬓茱萸
靖节排冠归隐去	孟生落帽快登临
山欢水笑	物阜民康
国光勃发	民气旺苏
普天同庆	日月增辉
江山永固	日月长恒
国趋昌盛人趋富	花爱阳春果爱秋
举国英豪开新局	中天丽日庆长春
山河千古秀	平野万象新
人逢国庆精神爽	月到中秋分外明
鹰疾如箭凌云志	花红似火报国心
前程千帆竞发	盛世万象更新
东风入户	喜气盈门
革命伴侣	幸福家庭
雁鸣旭日	凤哕朝阳
夫妻恩爱	家庭幸福
白头偕老	同心永结
珠联璧合	凤翥鸾翔
天作之合	文定厥祥
云开五色	户拱三星
礼行平等	结婚自由
鸳鸯比翼	夫妻同心
凤吉叶占	熊祥入梦
互助互爱	相敬相亲
百年合好	五世其昌
庭呈瑞彩	门挹祥光
百年好合	五世其昌
月明金屋	香喷玉屏
志同道合	花好月圆
禧凝燕贺	庆肇鸿图
花开并蒂	偶结同心
双燕齐飞	阖家欢乐
良辰美景	赏心悦事
行文明礼	结自由婚
萧迎淑女	酒贺新郎
凤凰鸣矣	琴瑟友之
夫妻恩爱	琴瑟和弦
鸳鸯对舞	鸾凤和鸣
雁鸣旭旦	凤哕朝阳
三星并耀	五世其昌
夫妻恩爱	鸾凤和鸣
花开并蒂	缘结同心
芝兰千茂	鸾凤百鸣
印泥发彩	兰蕊浮香
志同道合	意厚情长
天长地久	花好月圆
玉堂双璧合	宝树万枝荣
欢腾彩凤	瑞应祥麟
海誓山盟	同心永结
夫妻恩爱	家庭祥和
双莺鸣高树	对燕舞繁花
诗题红叶	彩耀青鸾
天高地阔	比翼齐飞
互帮互爱	相敬相亲
礼堂新献颂	妆阁合催诗
月圆花好	凤舞龙飞
射屏得偶	种玉有缘
门迎淑女	户接佳宾
百年歌好合	五世卜其昌
书称厘降	诗咏好逑
荷开并蒂	芍结双花
白头偕老	同道永春
当门花并蒂	迎户树交柯
水偕伉俪	喜缔良缘
鸳鸯比翼	龙凤呈祥
蓝田种玉	红叶题诗
旭日辉仁里	祥云护德门
花好月圆	姻缘美满
礼求平等	婚尚自由
乾坤交泰	琴瑟和谐
创业成知己	革命结同心
新人入户	喜气盈门
笙萧奏凤凰	鼓乐迎佳宾
好逑偕伉俪	嘉礼协文明
百年歌好合	两美结良缘
并蒂花最美	同心情更真
绿竹恩爱意	红梅贺新人
祥云腾吉地	瑞气聚华轩
志同配佳偶	道合结良缘
鱼水千年合	芝兰百世荣
琴瑟春常润	人天月共圆
旭日艺兰秀	春风琴瑟和
吹萧堪引凤	攀桂喜乘龙
奇缘谐凤配	雄梦叶熊占
缔美好姻缘	创幸福生活
芝兰茂千载	琴瑟乐百年
鸣琴乐佳偶	鼓瑟缔良缘
建文明社会	结美满婚姻
喜望红梅开	乐迎新人来
琴瑟春常润	花好月共圆
四季花常好	百年月永圆
春融花并蒂	日暖树交柯
摄成双璧影	缔结百年欢
彩笔题鹦鹉	焦桐引凤凰
凤凰为世瑞	琴瑟谱新声
结成平等果	开出自由花
锦瑟调鸿案	香词谱凤台
鸳鸯千载合	鸾凤百年和
文明协嘉礼	家室敦好逑
结革命伴侣	建幸福家庭
新春贺双美	齐飞庆百年
卿云绕绣辇	瑞气霭详云
恋爱心已合	结婚情更浓
烛照香车人	花迎宝扇开
欢歌随凤舞	笑语伴龙腾
同心奔四化	携手上征途
赤绳曾系足	红叶昔题诗
文明办喜事	礼貌待嘉宾
良辰添吉庆	嘉礼占文明
道合感情好	志同幸福多
良夜良辰良缘	佳男佳女佳偶
金凤过清夜	明月闹洞房
红梅思爱意	绿竹贺新人
雀屏欣中目	鸿案举齐眉
志同道合创业	情长谊深成家
三星方在户	百辆正迎门
喜气门庭满	春光绣帐明
玉堂歌燕喜	金屋啭莺娇
菊垂金作客	琴瑟谱新声
但愿情长久	何须语蜜甜
志于云上得	人自月中来
香掩芙蓉帐	烛辉锦绣帏
并蒂莲开四季	比翼鸟喜双飞
俭朴成婚礼	勤劳钟爱情
鸟入同行侣	花开连理技
锦堂双璧合	玉树万枝荣
向阳红花争艳	比翼俊鸟齐飞
齐种爱情树	同当幸福人
祥光拥大道	喜气满庭门
春风琴瑟韵	旭日芝兰香
笑脸笑迎宾客	喜歌喜接新人
并蒂花齐美	同心情更深
喜见红梅放	乐迎淑女来
祥云辉绣辇	瑞气驻华堂
美日美月美意	新郎新娘新婚
云恋妆台晓	花迎宝扇开
金风吹静夜	明月照新房
梅帐同甘梦	兰房送异香
银河双星庆会	金屋大礼观成
琴瑟千年好	江山万代红
共结美满姻缘	同建幸福生活
同德同心同志	知寒知暖知音
喜迎亲朋贵客	欣接伉俪佳人
凤凰鸣瑞世	梅点玉为容
但求志同道合	何必户对门当
欣接亲朋贵客	喜迎伉俪佳人
道合志同建国	情长意重齐家
情长谊深成家	志同道合建国
喜听琴瑟合奏	欣看凤凰齐飞
何必门当户对	但求道合志同
栏外红梅竞放	檐前紫燕双飞
美鸳鸯看比翼	好夫妇结同心
九畹兰香花并蒂	千树梧碧凤双栖
五色云临门似彩	四化志铭心如磐
喜共花容月色	何分秋夜春宵
小梅香里黄莺啭	玉树阴中紫凤来
互敬互爱春永驻	同心同德乐无穷
银汉双星庆会	金凤大礼欢成
山青水碧风光美	酒绿灯红喜气多
云汉桥成牛女渡	春台萧引凤凰飞
一对鸳鸯成好梦	五更鸾凤换新声
万里云天看比翼	百年事业结同心
云抱玉林芝草茁	香飘金屋篆烟清
一对红心向四化	两双巧手绘宏图
夫妻同心建四化	鸳鸯比翼奔长征
云路高翔比翼鸟	龙池深种并蒂莲
二姓联盟成大礼	百年偕老乐长春
友情培植常青树	恩爱催开幸福花
长天欢翔比翼鸟	大地喜结连理枝
十里好花迎淑女	一庭芳草长宜男
百年恩爱双心结	千里姻缘一线牵
午夜鸡鸣欣起舞	百年举案喜齐眉
佳偶百年欣遇	知音千里相逢
玉树风前夸并倚	绣帏月里看双飞
向阳红莲并蒂开	朝阳彩凤比翼飞
今日结成幸福侣	毕生描绘锦绣图
兰浥瑶阶花并蒂	光耀华屋户三星
今日结成并蒂莲	明朝共栽幸福花
百岁夫妻常合好	千秋伴侣永和谐
对对莲开映碧水	双双蝶舞乘东风
合欢花花花欢合	双飞燕燕燕双飞
杯交玉液飞鹦鹉	乐奏瑶笙引凤凰
吉人吉时传古语	新人新岁结新婚
文挥锦绣珠垂璧	粉傅兰胸云压梅
两朵红花争艳丽	一对鸳鸯比翼飞
百子帐开留半臂	五丝缕细结同心
并肩同走幸福路	携手共绘锦绣春
双飞黄鹂鸣翠柳	并蒂红莲映碧波
百年佳偶今朝合	万载良缘此日成
汗水共浇理想树	勤奋共尝爱情果
正是驾歌燕舞日	恰逢花好月圆时
两情鱼水春作伴	百年恩爱花常红
金屋春浓花馥郁	琼楼夜永月团圆
欢庆此日成佳偶	且喜今朝结良缘
连理枝结同心果	比翼鸟奔四化程
和睦门庭风光好	恩爱夫妻幸福长
红叶题诗欣赠嫁	青梅煮酒庆于归
迎东风双燕飞舞	向旭日并蒂花开
金鸡昂首祝婚礼	喜鹊登梅报佳音
红花并蒂相映美	矫燕双飞试比高
良缘喜结鸳鸯谱	春色永驻劳动家
宜国宜家新妇女	能文能武好男儿
志向远大双飞燕	花香艳丽并蒂莲
相亲相爱新伴侣	互帮互学好夫妻
赤诚招来飞鸿落	深情激得玉石开
海阔天空双比翼	月圆花好两知心
青丝共少最亲热	白头偕老更恩爱
桃符新换迎春帖	椒酒还斟合卺杯
花好月圆欣喜日	桃红柳绿幸福时
画眉笔带凌云气	种玉人怀咏雪才
柳暗花明春正半	珠联璧合影成双
花深处鸳鸯并立	稀枝间凤凰共栖
画眉喜有临川笔	举案欲看德耀妆
花月新妆宜学柳	芸窗学友早栽兰
革命佳偶同心结	并蒂红花向党开
家庭和睦歌声溢	琴瑟相偕乐事多
联翩丹凤舒新翼	并蒂红花攀高枝
举案齐眉示互敬	既婚仍友自相亲
银镜台前人似玉	金鸾堂中语如花
喜酒喜糖办喜事	新春新岁迎新人
载雪梅花飘绣阁	临风兰韵入香帏
情歌唤醒水中月	喜酒润开庭前花
喜鹊喜期报喜讯	新春新燕闹新房
莫道无才便是德	须知治国在齐家
鸾凤双栖桃花岸	莺燕对舞艳阳天
爱情红花开四季	姻缘美果甜百年
爱长长得长长爱	情深深知深深情
鸾凤和鸣昌百世	鸳鸯合好庆三春
新岁新婚新起点	喜人喜事喜开端
爱情贤贞花正好	意气相投月常圆
鸾凤和鸣昌百世	麒麟瑞叶庆千龄
爱情因事业增美	青春靠知识闪光
一对佳人兴大业	万千志士振中华
堂上画屏开孔雀	闺中绣幕隐芙蓉
携手栽培长青树	精心浇灌爱情花
爱情凭忠诚美好	力量靠理想发光
玉宇欣看金鹤舞	画堂喜听彩鸾鸣
大雁比翼飞万里	夫妻同心乐百年
碧岸雨收莺语柳	蓝田日暖玉生烟
叶笙簧百年偕老	鼓琴瑟五世其昌
千载情谊春永驻	百年恩爱花常红
喜鹊争鸣报喜讯	新花竞放迎新人
欢情永系同心带	春意先临并蒂梅
孔雀开屏月初圆	芙蓉出水花正好
红杏枝头春意闹	绿杨桥上玉人来
魁星常耀书香第	祥云时护积善家
丹桂香飘云路近	玉萧声绕镜台高
蝶趁春光欣结伴	人逢盛世喜成亲
万载良缘此日成	百年佳偶今朝合
长杨日暖祥光集	细柳风高喜气融
大好年华歌好合	丰饶世景结良缘
同心结闪红叶色	连理花飘金桂香
红花并蒂相映美	紫燕双飞互比高
枝头梅绽春来早	堂前榴开福满门
杏坛春暖花并蒂	兰闺日晴燕双飞
百年佳偶同心结	万里鹏程比翼飞
相敬如宾四季乐	钟情似海百年长
柳树花明春正好	珠联璧合影成双
佳儿佳女成佳偶	春日春人舞春风
互敬互爱好伴侣	同心同德美德缘
志趣相投花亦笑	感情融洽月常圆
意似鸳鸯飞比翼	情如鸾凤宿同林
爱貌爱才尤爱志	知人知面更知心
喜看两小成佳偶	乐生一个树新风
莺声日暖鸣金谷	麟趾春深步玉堂
银镜台前人似玉	茜纱窗下语如诗
婚礼只须歌燕尔	计生不复咏螽斯
良缘永结心花放	喜气方升岁月欢
琴瑟同奏幸福曲	夫妻共描锦宏图
谙人谙世能经国	亦淑亦贤最可人
水底月为天上月	眼前人是意中人
勤劳手足忧患少	恩爱夫妻欢乐多
如意香生红玉宇	明珠光入紫微垣
引凤才高应跨凤	屠龙技绝自乘龙
燕舞莺歌春得意	志同道合遂初心
岂只室家盟自首	更为时代奋青春
绣阁凰和箫引凤	蓝田日暖玉生烟
红妆带绾同心结	碧池莲开连理技
窗前共揽三春月	灯下同吟一卷诗
昔日同栽连理树	今朝共举合欢杯
爱有缘由情有种	学无止境业无穷
